"UI 요소명","Figma 프레임명","위치","지원 및 연결 패널","동작 형태","설명/메뉴"
"세이브 뷰","Save View","오른 컨트롤러 위","저장","뷰에 사용할 썸네일 위치에 맞춰 트리거 누르기 1","저장하기 위해 썸네일을 촬영합니다. 메인 사용 손 컨트롤러 위쪽에 뷰패널이 생성되어 원하는 각도에서 트리거를 누르면 촬영된 사진과 함께 작품이 저장됩니다."
"파일 아이콘","Function panel 2","상단 3","File Manager","오른쪽 컨트롤러 포인터 (원형에 맞춰서) → 트리거 누르기 1","파일 관리자 메뉴를 열어 저장, 불러오기, 갤러리 등 파일 관련 작업을 할 수 있습니다."
"저장","File Manager","상단 1","Save View","오른쪽 컨트롤러 포인터 (원형에 맞춰서) → 트리거 누르기 1","현재 작품을 저장하는 기능입니다."
"불러오기","File Manager","상단 2","로컬 저장소 (화면명 참고)","오른쪽 컨트롤러 포인터 (원형에 맞춰서) → 트리거 누르기 1","로컬 저장소에서 저장된 작을 불러옵니다."
"갤러리","File Manager","상단 3","갤러리(화면명 참고)","오른쪽 컨트롤러 포인터 (원형에 맞춰서) → 트리거 누르기 1","갤러리 화면으로 이동해 작품을 탐색할 수 있습니다."
"업로드","File Manager","하단 1","Upload screen","오른쪽 컨트롤러 포인터 (원형에 맞춰서) → 트리거 누르기 1","작업물을 서버나 클라우드에 업로드합니다."
"카메라","Function panel 2","하단 1","Camera setting","오른쪽 컨트롤러 포인터 (원형에 맞춰서) → 트리거 누르기 1","카메라 설정 메뉴를 열어 촬영 관련 작업을 할 수 있습니다."
"스크린샷","Camera setting","상단 1","Screenshot","오른쪽 컨트롤러 상단 뷰에 원하는 뷰 맞춰서 → 트리거 누르기 1 →자동저장","현재 작품을 원하는 각도에서 촬영하여 사진의 상태로 저장합니다."
"영상 촬영","Camera setting","상단 2","Video Start","오른쪽 컨트롤러 포인터 (원형에 맞춰서) → 트리거 누르기 1","현재 작품에 레일을 설치하여 영상을 촬영합니다."
"레일 생성","Video Start","중앙","Video shooting","오른쪽 컨트롤러 포인터 (원형에 맞춰서) → 트리거 누르기 1 → 공간에 피봇 생성 ( 트리거 누르기)","카메라가 놓일 첫 위치를 메인 작업 손의 트리거를 활용하여 공간에 피봇으로 지정해줍니다."
"경로 추가 및 선택","Video shooting","상단 1","Camera Edit","오른쪽 컨트롤러 포인터 (원형에 맞춰서) → 트리거 누르기 1","영상 촬영 카메라가 지나가는 경로를 추가 또는 선택할 수 있습니다."
"추가 삭제","Camera Edit","3*2","-","최대 6개의 카메라 경로 추가 및 삭제","영상 촬영 카메라가 지나가는 경로를 삭제 할 수 있습니다."
"경로 보이기","Video shooting","상단 2","-","","선택된 설정된 카메라 촬영 경로를 화면에 표시하거나 숨길 수 있습니다."
"저장","Video shooting","상단 3","-","오른쪽 컨트롤러 포인터 (원형에 맞춰서) → 트리거 누르기 1","촬영한 영상 설정을 저장합니다."
"카메라 뷰","Video shooting","중앙","플레이 / 멈춤 기능","오른쪽 컨트롤러 포인터 (원형에 맞춰서) → 트리거 누르기 1","촬영 중인 카메라의 화면을 확인합니다. 카메라의 이동의 시작 및 멈춤 기능을 제공합니다."
"추가","Video shooting","중단 1","레일 포인트 추가","오른쪽 컨트롤러 포인터 (원형에 맞춰서) → 트리거 누르기 1","촬영 경로에 포인트를 추가합니다."
